timestamp,timestamp_sample,lat,lon,alt,alt_ellipsoid,delta_alt,delta_terrain,eph,epv,terrain_alt,lat_lon_valid,alt_valid,lat_lon_reset_counter,alt_reset_counter,terrain_reset_counter,terrain_alt_valid,dead_reckoning
1780397225.8016,1780397225.80124,52.5152722877977,13.3233627720514,24.594088,69.370125,33.65545,33.65545,0.5196148,0.3578364,24.582317,1,1,7,2,2,0,0
1780397225.81172,1780397225.81126,52.5152722893188,13.3233627709551,24.594336,69.37038,33.65545,33.65545,0.5199601,0.35820708,24.582392,1,1,7,2,2,0,0
1780397226.00238,1780397226.00173,52.5152722858379,13.3233627154587,24.602266,69.3783,33.65545,33.65545,0.5213824,0.35862324,24.594786,1,1,7,2,2,0,0
1780397226.21272,1780397226.21225,52.5152722694359,13.3233627008541,24.610031,69.38607,33.65545,33.65545,0.52346027,0.35790727,24.59861,1,1,7,2,2,0,0
1780397226.40816,1780397226.40271,52.5152722688111,13.3233626994299,24.615553,69.391594,33.65545,33.65545,0.5248088,0.3583036,24.60141,1,1,7,2,2,0,0
1780397226.60867,1780397226.6032,52.5152722389824,13.3233626961532,24.619177,69.39522,33.65545,33.65545,0.52643794,0.35904437,24.60141,1,1,7,2,2,0,0
1780397226.80904,1780397226.80369,52.5152721552573,13.3233626294448,24.624216,69.40025,33.65545,33.65545,0.5279962,0.35976785,24.60141,1,1,7,2,2,0,0
1780397227.00953,1780397227.00419,52.5152717057972,13.3233623440226,24.629816,69.40585,33.65545,33.65545,0.5294684,0.35860205,24.60141,1,1,7,2,2,0,0
1780397227.21002,1780397227.20468,52.5152706112516,13.323361664287,24.627699,69.40374,33.65545,33.65545,0.53085065,0.3592981,24.60141,1,1,7,2,2,0,0
1780397227.41052,1780397227.40517,52.515268984248,13.3233603151336,24.63858,69.41462,33.65545,33.65545,0.5321893,0.35998523,24.60141,1,1,7,2,2,0,0
1780397227.61105,1780397227.60566,52.5152671093715,13.3233586651688,24.631199,69.40724,33.65545,33.65545,0.5334893,0.35878766,24.60141,1,1,7,2,2,0,0
1780397227.81155,1780397227.80615,52.5152655499333,13.3233570054989,24.62105,69.39709,33.65545,33.65545,0.5347624,0.35945833,24.60141,1,1,7,2,2,0,0
1780397228.01206,1780397228.00664,52.5152645154691,13.3233556678425,24.620676,69.39671,33.65545,33.65545,0.53601146,0.3601254,24.60141,1,1,7,2,2,0,0
1780397228.20248,1780397228.19711,52.5152635143088,13.3233545214592,24.613445,69.38948,33.65545,33.65545,0.53690886,0.3604224,24.60141,1,1,7,2,2,0,0
1780397228.40317,1780397228.3976,52.5152623961142,13.3233532890034,24.632372,69.40841,33.65545,33.65545,0.53811264,0.35920078,24.60141,1,1,7,2,2,0,0
1780397228.60348,1780397228.59809,52.5152612255104,13.3233519331842,24.647766,69.423805,33.65545,33.65545,0.53929484,0.35985222,24.60141,1,1,7,2,2,0,0
1780397228.80404,1780397228.79858,52.5152603114014,13.3233507657459,24.64843,69.42447,33.65545,33.65545,0.5404557,0.36049768,24.60141,1,1,7,2,2,0,0
1780397229.00464,1780397228.99907,52.5152594128336,13.3233497969921,24.65425,69.43029,33.65545,33.65545,0.5415957,0.35925847,24.60141,1,1,7,2,2,0,0
1780397229.20493,1780397229.19957,52.5152586948068,13.3233490977364,24.649914,69.42595,33.65545,33.65545,0.54271543,0.35989827,24.60141,1,1,7,2,2,0,0
1780397229.40545,1780397229.40006,52.5152578244724,13.3233483639805,24.642254,69.41829,33.65545,33.65545,0.5437969,0.3605296,24.60141,1,1,7,2,2,0,0
1780397229.60616,1780397229.60055,52.5152569347024,13.3233474595386,24.643663,69.4197,33.65545,33.65545,0.5448142,0.35925403,24.60141,1,1,7,2,2,0,0
1780397229.80645,1780397229.80104,52.5152559692671,13.3233464005545,24.654848,69.430885,33.65545,33.65545,0.546041,0.36003098,24.60141,1,1,7,2,2,0,0
1780397230.00688,1780397230.00153,52.5152547732133,13.3233452873377,24.669464,69.4455,33.65545,33.65545,0.5470747,0.360656,24.60141,1,1,7,2,2,0,0
1780397230.20737,1780397230.20202,52.5152535110764,13.3233441744945,24.677267,69.45331,33.65545,33.65545,0.5481756,0.35942987,24.60141,1,1,7,2,2,0,0
1780397230.40788,1780397230.40251,52.5152521990775,13.3233431288079,24.696663,69.4727,33.65545,33.65545,0.54932564,0.36009562,24.60141,1,1,7,2,2,0,0
1780397230.60835,1780397230.60301,52.5152509381169,13.3233422638316,24.706429,69.48247,33.65545,33.65545,0.5504938,0.36074957,24.60141,1,1,7,2,2,0,0
1780397230.80891,1780397230.8035,52.5152497257648,13.3233413460222,24.708145,69.48419,33.65545,33.65545,0.55164564,0.35949865,24.60141,1,1,7,2,2,0,0
1780397231.00935,1780397231.00399,52.5152484661137,13.3233403672821,24.700275,69.47632,33.65545,33.65545,0.5528075,0.36019576,24.60141,1,1,7,2,2,0,0
1780397231.20986,1780397231.20448,52.515247332404,13.3233394081215,24.705084,69.48113,33.65545,33.65545,0.55371994,0.36078772,24.60141,1,1,7,2,2,0,0
1780397231.41035,1780397231.40497,52.5152461375879,13.3233383920343,24.712608,69.48866,33.65545,33.65545,0.554616,0.35950044,24.60141,1,1,7,2,2,0,0
1780397231.61081,1780397231.60546,52.5152448532053,13.3233374859416,24.701963,69.47802,33.65545,33.65545,0.5555447,0.36012903,24.60141,1,1,7,2,2,0,0
1780397231.8113,1780397231.80595,52.5152436199673,13.3233365814531,24.696505,69.47256,33.65545,33.65545,0.5565118,0.3607784,24.60141,1,1,7,2,2,0,0
1780397232.01183,1780397232.00644,52.5152424133025,13.3233356417302,24.69671,69.47277,33.65545,33.65545,0.557432,0.3614099,24.60141,1,1,7,2,2,0,0
1780397232.20979,1780397232.20944,52.5152411299172,13.3233347298882,24.703173,69.47923,33.65545,33.65545,0.55823594,0.36010566,24.60141,1,1,7,2,2,0,0
1780397232.41032,1780397232.40993,52.5152398521031,13.3233337740411,24.704977,69.48104,33.65545,33.65545,0.55902994,0.36072823,24.60141,1,1,7,2,2,0,0
1780397232.61077,1780397232.61042,52.5152385995097,13.3233326645953,24.712248,69.48832,33.65545,33.65545,0.5597415,0.36129314,24.60141,1,1,7,2,2,0,0
1780397232.80635,1780397232.80089,52.5152374895203,13.3233316484736,24.734167,69.51024,33.65545,33.65545,0.5601187,0.35960454,24.60141,1,1,7,2,2,0,0
1780397233.0068,1780397233.00138,52.5152364199949,13.3233305443409,24.737537,69.51361,33.65545,33.65545,0.5608149,0.36018357,24.60141,1,1,7,2,2,0,0
1780397233.20722,1780397233.20187,52.5152353138495,13.3233293306727,24.726965,69.50304,33.65545,33.65545,0.5615271,0.3607875,24.60141,1,1,7,2,2,0,0
1780397233.40776,1780397233.40237,52.5152342655441,13.3233282085201,24.711275,69.48734,33.65545,33.65545,0.56224245,0.35951382,24.60141,1,1,7,2,2,0,0
1780397233.6082,1780397233.60286,52.5152332013376,13.3233271546327,24.712666,69.48874,33.65545,33.65545,0.5630542,0.3602145,24.60141,1,1,7,2,2,0,0
1780397233.8087,1780397233.80335,52.5152320606853,13.3233259389951,24.71564,69.491714,33.65545,33.65545,0.56470704,0.3615471,24.60141,1,1,7,2,2,0,0
1780397234.00674,1780397234.00635,52.515230960591,13.3233248117239,24.710697,69.48677,33.65545,33.65545,0.5668612,0.36128986,24.60141,1,1,7,2,2,0,0
1780397234.2073,1780397234.20684,52.5152298961513,13.3233237008422,24.711136,69.48721,33.65545,33.65545,0.5698954,0.36346638,24.60141,1,1,7,2,2,0,0
1780397234.4102,1780397234.40733,52.5152287487897,13.3233224643904,24.715267,69.49135,33.65545,33.65545,0.5734099,0.36580482,24.60141,1,1,7,2,2,0,0
1780397234.61067,1780397234.60782,52.5152277508494,13.3233214579922,24.720007,69.49609,33.65545,33.65545,0.57772595,0.36844882,24.60141,1,1,7,2,2,0,0
1780397234.81115,1780397234.80831,52.5152267284321,13.3233205662559,24.722088,69.498184,33.65545,33.65545,0.58346653,0.3695389,24.60141,1,1,7,2,2,0,0
1780397235.01165,1780397235.0088,52.5152257448595,13.3233198581535,24.718782,69.49488,33.65545,33.65545,0.58999556,0.3727849,24.60141,1,1,7,2,2,0,0
1780397235.21219,1780397235.2118,52.5152247613723,13.3233193235021,24.717337,69.49344,33.65545,33.65545,0.5979972,0.37636432,24.60141,1,1,7,2,2,0,0
1780397235.40261,1780397235.40227,52.515223459545,13.3233182701569,24.714397,69.49049,33.65545,33.65545,0.6062849,0.3774433,24.60141,1,1,7,2,2,0,0
1780397235.6031,1780397235.60276,52.5152219394722,13.3233169811396,24.716284,69.49239,33.65545,33.65545,0.61555606,0.381023,24.60141,1,1,7,2,2,0,0
1780397235.80364,1780397235.80325,52.5152204685546,13.3233159129296,24.722343,69.49845,33.65545,33.65545,0.625405,0.38465658,24.60141,1,1,7,2,2,0,0
1780397236.00419,1780397236.00374,52.5152189347103,13.3233148649085,24.73963,69.51574,33.65545,33.65545,0.63339096,0.3856247,24.60141,1,1,7,2,2,0,0
1780397236.20461,1780397236.20423,52.5152175786927,13.3233138835684,24.749084,69.5252,33.65545,33.65545,0.63856435,0.38846362,24.60141,1,1,7,2,2,0,0
1780397236.40507,1780397236.40472,52.515216228015,13.3233126748551,24.743427,69.51955,33.65545,33.65545,0.6430955,0.39123094,24.60141,1,1,7,2,2,0,0
1780397236.60561,1780397236.60522,52.5152148081994,13.3233112768235,24.749626,69.52574,33.65545,33.65545,0.6512961,0.39222348,24.60141,1,1,7,2,2,0,0
1780397236.80605,1780397236.80571,52.5152133161602,13.3233101116821,24.75454,69.53066,33.65545,33.65545,0.6582925,0.39545524,24.60141,1,1,7,2,2,0,0
1780397237.00656,1780397237.0062,52.5152117603435,13.323309038651,24.758677,69.5348,33.65545,33.65545,0.66669434,0.39894167,24.60141,1,1,7,2,2,0,0
1780397237.20707,1780397237.20669,52.5152103258365,13.3233081105043,24.757633,69.53375,33.65545,33.65545,0.6734845,0.39961603,24.60141,1,1,7,2,2,0,0
1780397237.40765,1780397237.40718,52.5152088243173,13.3233073147855,24.752626,69.52875,33.65545,33.65545,0.6821823,0.40320483,24.60141,1,1,7,2,2,0,0
1780397237.60805,1780397237.60767,52.5152070773883,13.3233063943784,24.754284,69.53041,33.65545,33.65545,0.6861755,0.40620485,24.60141,1,1,7,2,2,0,0
1780397237.80851,1780397237.80816,52.5152052816715,13.3233056813533,24.75337,69.529495,33.65545,33.65545,0.68667895,0.4088098,24.60141,1,1,7,2,2,0,0
1780397238.009,1780397238.00866,52.5152034126818,13.3233050161335,24.75147,69.527596,33.65545,33.65545,0.6877853,0.40879148,24.60141,1,1,7,2,2,0,0
1780397238.2095,1780397238.20915,52.5152014693756,13.3233046628228,24.747349,69.523476,33.65545,33.65545,0.6910215,0.4118424,24.60141,1,1,7,2,2,0,0
1780397238.41004,1780397238.40964,52.5151997273472,13.3233044713104,24.755178,69.5313,33.65545,33.65545,0.6949142,0.41497934,24.60141,1,1,7,2,2,0,0
1780397238.61047,1780397238.61013,52.5151979039718,13.3233042563386,24.76066,69.53679,33.65545,33.65545,0.70181084,0.41558957,24.60141,1,1,7,2,2,0,0
1780397238.81096,1780397238.81062,52.5151959105531,13.3233040245247,24.76283,69.53896,33.65545,33.65545,0.71035564,0.41922167,24.60141,1,1,7,2,2,0,0
1780397239.01146,1780397239.01111,52.5151938892445,13.3233039248655,24.774544,69.550674,33.65545,33.65545,0.7166247,0.4225298,24.60141,1,1,7,2,2,0,0
1780397239.21198,1780397239.2116,52.5151918101662,13.3233036086362,24.788092,69.564224,33.65545,33.65545,0.72302544,0.42271912,24.60141,1,1,7,2,2,0,0
1780397239.41245,1780397239.4121,52.5151897463396,13.323303270662,24.792217,69.568344,33.65545,33.65545,0.72934395,0.42591017,24.60141,1,1,7,2,2,0,0
1780397239.6029,1780397239.60256,52.5151879412614,13.3233032222825,24.794018,69.57015,33.65545,33.65545,0.732519,0.42830312,24.60141,1,1,7,2,2,0,0
1780397239.80339,1780397239.80305,52.5151862770458,13.3233032006637,24.801687,69.57783,33.65545,33.65545,0.73111826,0.4306759,24.60141,1,1,7,2,2,0,0
1780397240.00392,1780397240.00355,52.5151848652796,13.3233026109344,24.81097,69.58711,33.65545,33.65545,0.725011,0.42922133,24.60141,1,1,7,2,2,0,0
