timestamp,est_x,est_y,est_z,gt_x,gt_y,gt_z
1.780397396710419893e+09,-1.093739579813557299e+02,-1.089717447843258782e+02,-3.685132993385573030e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.780397396810442209e+09,-1.093790349585643469e+02,-1.089701070001985812e+02,-3.684198911405361798e+01,-7.418405780794890480e-05,1.691387660426397143e-04,2.479999999991377990e-04
1.780397396910541534e+09,-1.093832597342386919e+02,-1.089689184725111204e+02,-3.683353707161183621e+01,-3.829495924193705540e-03,-2.179195567629382282e-04,8.178000000000906766e-03
1.780397397010638475e+09,-1.093870056779183386e+02,-1.089681128392540614e+02,-3.682605545988680973e+01,-3.829495924193705540e-03,-2.179195567629382282e-04,8.178000000000906766e-03
1.780397397110699892e+09,-1.093899700514526216e+02,-1.089675067926508802e+02,-3.681941882820620293e+01,-4.817755127665798026e-03,-2.041739309286390650e-03,1.594300000000004047e-02
1.780397397210754633e+09,-1.093924863465398403e+02,-1.089671070260060759e+02,-3.681372567269597340e+01,-4.817755127665798026e-03,-2.041739309286390650e-03,1.594300000000004047e-02
1.780397397310755253e+09,-1.093944420050989521e+02,-1.089668314666758278e+02,-3.680878387943282348e+01,-4.914127378225126470e-03,-2.111213281033160090e-03,2.146499999999917918e-02
1.780397397410691261e+09,-1.093959410097515530e+02,-1.089666467906390892e+02,-3.680455747448145587e+01,-4.914127378225126470e-03,-2.111213281033160090e-03,2.146499999999917918e-02
1.780397397510681629e+09,-1.093958451195953359e+02,-1.089659062801364655e+02,-3.680618840190885521e+01,-5.135854004857329409e-03,-5.428013927560674731e-03,2.508900000000124919e-02
1.780397397610757589e+09,-1.093946162943164211e+02,-1.089655162004519440e+02,-3.680945731170780277e+01,-5.135854004857329409e-03,-5.428013927560674731e-03,2.508900000000124919e-02
1.780397397710859299e+09,-1.093949050521527795e+02,-1.089653294139664155e+02,-3.680783333796393464e+01,-9.649855753562351993e-03,-1.473782005416802467e-02,3.012800000000126488e-02
1.780397397810902834e+09,-1.093952191425875355e+02,-1.089651587787337803e+02,-3.680658271579230245e+01,-9.649855753562351993e-03,-1.473782005416802467e-02,3.012800000000126488e-02
1.780397397910864353e+09,-1.093955002436107549e+02,-1.089651865741918613e+02,-3.680580102107742846e+01,-2.896370973787367950e-02,-6.471550322731162153e-02,3.572800000000242449e-02
1.780397398010819674e+09,-1.093957540377273574e+02,-1.089653351255031453e+02,-3.680532350452872237e+01,-2.896370973787367950e-02,-6.471550322731162153e-02,3.572800000000242449e-02
1.780397398110766649e+09,-1.093959309502793360e+02,-1.089653872913438164e+02,-3.680519400675260044e+01,-7.495983102764763872e-02,-1.864234204272240125e-01,3.361100000000050159e-02
1.780397398210762501e+09,-1.093958104129428932e+02,-1.089654906340559393e+02,-3.680601747565570037e+01,-7.495983102764763872e-02,-1.864234204272240125e-01,3.361100000000050159e-02
1.780397398310749769e+09,-1.093955162930025438e+02,-1.089657462049453613e+02,-3.680718482049813645e+01,-1.662538922899597094e-01,-3.673379662144680702e-01,4.449200000000175237e-02
