timestamp,lat_deg,lon_deg,alt_m,vel_N_mps,vel_E_mps,vel_D_mps
1780397089.710420,52.514717995,13.323306915,13.522,-0.0225,0.0244,-0.0944
1780397089.810442,52.514717975,13.323306951,13.531,-0.0197,0.0241,-0.0888
1780397089.910542,52.514717960,13.323306986,13.540,-0.0150,0.0219,-0.0786
1780397090.010638,52.514717948,13.323307016,13.547,-0.0114,0.0201,-0.0684
1780397090.110700,52.514717939,13.323307046,13.553,-0.0086,0.0187,-0.0585
1780397090.210755,52.514717932,13.323307071,13.559,-0.0064,0.0169,-0.0494
1780397090.310755,52.514717928,13.323307096,13.563,-0.0044,0.0157,-0.0409
1780397090.410691,52.514717925,13.323307118,13.567,-0.0028,0.0146,-0.0344
1780397090.510682,52.514717923,13.323307139,13.570,-0.0022,0.0085,-0.0143
1780397090.610758,52.514717921,13.323307143,13.570,-0.0021,0.0041,0.0014
1780397090.710859,52.514717919,13.323307151,13.570,-0.0022,0.0036,0.0023
1780397090.810903,52.514717917,13.323307154,13.569,-0.0020,0.0018,0.0026
1780397090.910864,52.514717915,13.323307156,13.569,-0.0007,-0.0013,0.0069
1780397091.010820,52.514717915,13.323307150,13.568,-0.0008,-0.0032,0.0100
1780397091.110767,52.514717914,13.323307147,13.567,-0.0013,-0.0034,0.0082
1780397091.210763,52.514717913,13.323307140,13.566,-0.0000,-0.0061,0.0145
1780397091.310750,52.514717914,13.323307129,13.565,0.0011,-0.0064,0.0167
1780397091.410750,52.514717915,13.323307121,13.563,0.0052,-0.0022,0.0079
1780397091.510804,52.514717923,13.323307122,13.563,0.0074,-0.0076,0.0259
1780397091.610876,52.514717928,13.323307099,13.558,0.0035,-0.0111,0.0288
1780397091.710902,52.514717929,13.323307090,13.557,0.0014,-0.0069,0.0079
1780397091.810881,52.514717931,13.323307078,13.556,0.0005,-0.0082,0.0075
1780397091.910802,52.514717930,13.323307065,13.556,-0.0007,-0.0081,0.0053
1780397092.010633,52.514717930,13.323307054,13.555,-0.0006,-0.0070,0.0044
1780397092.110383,52.514717929,13.323307045,13.555,0.0000,-0.0066,0.0047
1780397092.210222,52.514717930,13.323307035,13.554,-0.0000,-0.0061,0.0045
1780397092.310090,52.514717929,13.323307027,13.554,0.0002,-0.0045,0.0092
1780397092.410167,52.514717930,13.323307021,13.552,0.0002,-0.0029,0.0137
1780397092.510273,52.514717930,13.323307018,13.551,-0.0001,-0.0010,0.0135
1780397092.610375,52.514717930,13.323307018,13.550,0.0002,-0.0004,0.0137
1780397092.710492,52.514717930,13.323307017,13.548,0.0009,-0.0009,0.0136
1780397092.810636,52.514717931,13.323307016,13.547,0.0011,-0.0009,0.0130
1780397092.910856,52.514717932,13.323307014,13.546,0.0013,-0.0011,0.0116
1780397093.013623,52.514717934,13.323307012,13.545,0.0013,-0.0017,0.0100
1780397093.111113,52.514717934,13.323307009,13.544,0.0009,-0.0019,0.0085
1780397093.211057,52.514717935,13.323307007,13.543,0.0005,-0.0021,0.0067
1780397093.310921,52.514717935,13.323307003,13.542,0.0008,-0.0026,0.0054
1780397093.410766,52.514717937,13.323306999,13.542,0.0015,-0.0025,0.0045
1780397093.510685,52.514717938,13.323306996,13.542,0.0014,-0.0021,0.0034
1780397093.610600,52.514717939,13.323306993,13.541,0.0008,-0.0012,-0.0019
1780397093.710477,52.514717939,13.323306992,13.542,0.0005,-0.0020,-0.0021
1780397093.810323,52.514717940,13.323306987,13.542,0.0006,-0.0033,0.0025
1780397093.910165,52.514717941,13.323306982,13.541,0.0002,-0.0028,0.0026
1780397094.010027,52.514717941,13.323306979,13.541,-0.0002,-0.0015,0.0029
1780397094.109951,52.514717940,13.323306978,13.541,-0.0002,-0.0010,0.0079
1780397094.209935,52.514717940,13.323306976,13.540,0.0006,-0.0050,0.0295
1780397094.310019,52.514717941,13.323306963,13.535,-0.0005,-0.0010,0.0225
1780397094.410100,52.514717939,13.323306973,13.535,-0.0015,0.0073,-0.0013
1780397094.510240,52.514717938,13.323306985,13.535,-0.0009,0.0081,-0.0018
1780397094.610394,52.514717938,13.323306997,13.535,-0.0004,0.0073,-0.0032
1780397094.710584,52.514717938,13.323307007,13.536,0.0002,0.0055,-0.0052
1780397094.810761,52.514717938,13.323307013,13.536,0.0007,0.0029,-0.0070
1780397094.910825,52.514717939,13.323307015,13.537,0.0014,-0.0001,-0.0080
1780397095.010704,52.514717941,13.323307013,13.538,0.0030,-0.0039,-0.0046
1780397095.110559,52.514717944,13.323307004,13.538,0.0041,-0.0069,-0.0013
1780397095.210397,52.514717948,13.323306992,13.538,0.0041,-0.0069,-0.0019
1780397095.310163,52.514717952,13.323306983,13.539,0.0047,-0.0058,-0.0024
1780397095.409897,52.514717956,13.323306975,13.539,0.0049,-0.0042,-0.0021
1780397095.509676,52.514717960,13.323306971,13.539,0.0035,-0.0013,-0.0001
1780397095.609497,52.514717963,13.323306971,13.539,0.0021,0.0026,0.0016
1780397095.709563,52.514717964,13.323306979,13.539,0.0014,0.0062,0.0025
1780397095.809813,52.514717965,13.323306990,13.538,0.0012,0.0074,0.0033
1780397095.910192,52.514717966,13.323307001,13.538,0.0013,0.0074,0.0034
1780397096.010632,52.514717968,13.323307012,13.538,0.0013,0.0064,0.0031
1780397096.111003,52.514717969,13.323307020,13.537,0.0011,0.0035,0.0019
1780397096.211124,52.514717970,13.323307022,13.537,0.0004,-0.0001,-0.0010
1780397096.310971,52.514717970,13.323307020,13.538,0.0004,-0.0039,-0.0037
1780397096.410681,52.514717970,13.323307011,13.538,0.0007,-0.0072,-0.0045
1780397096.510314,52.514717971,13.323306998,13.538,0.0008,-0.0098,0.0000
1780397096.609962,52.514717972,13.323306982,13.538,0.0009,-0.0074,-0.0038
1780397096.709588,52.514717973,13.323306976,13.539,0.0012,-0.0050,-0.0026
1780397096.809502,52.514717974,13.323306967,13.539,0.0014,-0.0107,0.0244
1780397096.909570,52.514717975,13.323306945,13.534,-0.0011,-0.0065,0.0189
1780397097.009766,52.514717972,13.323306948,13.535,-0.0042,0.0030,-0.0042
1780397097.109988,52.514717967,13.323306954,13.535,-0.0047,0.0044,-0.0036
1780397097.210217,52.514717964,13.323306961,13.535,-0.0037,0.0038,-0.0031
